qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,539841,53764,593605
fc_a_001,ABD,4613,497,5110
fc_a_002,AD,4709,479,5188
fc_a_003,A,2344,259,2603
fc_a_004,A,4865,446,5311
fc_a_005,ABD,4930,431,5361
fc_a_006,A,2650,322,2972
fc_a_007,BD,5046,773,5819
fc_a_008,B,5126,420,5546
fc_a_009,AB,5323,514,5837
fc_a_010,A,2539,380,2919
fc_a_011,A,4990,445,5435
fc_a_012,ACD,5016,554,5570
fc_a_013,A,2647,293,2940
fc_a_014,B,4860,515,5375
fc_a_015,A,4958,525,5483
fc_a_016,ABC,5035,475,5510
fc_a_017,AD,5101,460,5561
fc_a_018,B,2706,263,2969
fc_a_019,A,4633,425,5058
fc_a_020,AB,4867,453,5320
fin_a_001,C,4438,567,5005
fin_a_002,AD,5168,734,5902
fin_a_003,A,2983,349,3332
fin_a_004,BD,5107,559,5666
fin_a_005,D,5002,710,5712
fin_a_006,B,3022,427,3449
fin_a_007,AD,5402,576,5978
fin_a_008,B,5158,451,5609
fin_a_009,BC,4585,843,5428
fin_a_010,B,2642,424,3066
fin_a_011,D,4597,536,5133
fin_a_012,BD,4490,465,4955
fin_a_013,A,3015,430,3445
fin_a_014,B,4684,499,5183
fin_a_015,A,4947,494,5441
fin_a_016,AD,5032,693,5725
fin_a_017,AC,5304,514,5818
fin_a_018,B,2215,357,2572
fin_a_019,AB,5446,562,6008
fin_a_020,AB,4746,548,5294
ins_a_001,B,7783,1202,8985
ins_a_002,A,7259,993,8252
ins_a_003,D,7224,988,8212
ins_a_004,A,6800,621,7421
ins_a_005,ABCD,6634,806,7440
ins_a_006,A,5608,1079,6687
ins_a_007,B,6107,590,6697
ins_a_008,AC,6481,513,6994
ins_a_009,C,6388,646,7034
ins_a_010,ABCD,6664,512,7176
ins_a_011,BC,6729,589,7318
ins_a_012,A,6443,592,7035
ins_a_013,A,6625,645,7270
ins_a_014,ABCD,6648,553,7201
ins_a_015,ABCD,6839,720,7559
ins_a_016,CD,6176,422,6598
ins_a_017,ABCD,6769,724,7493
ins_a_018,CD,6666,672,7338
ins_a_019,ABC,6451,536,6987
ins_a_020,D,7325,813,8138
reg_a_001,AC,6156,664,6820
reg_a_002,ABC,5964,442,6406
reg_a_003,A,3836,354,4190
reg_a_004,ABC,5974,502,6476
reg_a_005,ABC,6160,500,6660
reg_a_006,A,5713,360,6073
reg_a_007,AC,6074,540,6614
reg_a_008,A,6167,704,6871
reg_a_009,AB,6141,638,6779
reg_a_010,B,4754,490,5244
reg_a_011,AD,6079,767,6846
reg_a_012,ABD,5880,487,6367
reg_a_013,A,5729,246,5975
reg_a_014,ABD,6038,385,6423
reg_a_015,C,5831,889,6720
reg_a_016,ABD,6428,417,6845
reg_a_017,AB,6299,485,6784
reg_a_018,A,5823,290,6113
reg_a_019,ABD,6595,512,7107
reg_a_020,AB,5736,471,6207
res_a_001,ABC,6444,713,7157
res_a_002,ABC,6359,546,6905
res_a_003,B,3666,373,4039
res_a_004,ABC,6459,437,6896
res_a_005,ABC,6328,537,6865
res_a_006,A,3601,400,4001
res_a_007,ABC,6359,545,6904
res_a_008,A,6248,477,6725
res_a_009,ABC,6393,482,6875
res_a_010,A,3578,334,3912
res_a_011,ABC,6529,557,7086
res_a_012,ABC,6192,465,6657
res_a_013,B,3565,273,3838
res_a_014,ABC,6175,509,6684
res_a_015,A,6446,534,6980
res_a_016,ACD,6606,488,7094
res_a_017,AB,6203,537,6740
res_a_018,A,3844,397,4241
res_a_019,AB,6597,558,7155
res_a_020,AB,6312,576,6888
